c CS 4.6
c Commercial use requires a licence
c contact igsys@eclipse.net
c
c nodes:              81     arcs:              709
c scale-factor:       12     cut-off-factor:   12.0
c
c time:             0.00     cost:               49
c refines:             2     discharges:         78
c pushes:             98     relabels:           51
c updates:             0     u-scans:             0
c p-refines:           3     r-scans:           109
c dfs-scans:         567     bad-in:        0  +  0
c
s      49
f       0       3          1
f       0       4          1
f       0       2          1
f       0       8          1
f       0       7          1
f       0       9          1
f       0       5          1
f       0      10          1
f       0       6          1
f       2      42          0
f       2      78          0
f       2      43          0
f       2      79          0
f       2      44          0
f       2      11          0
f       2      46          0
f       2      13          0
f       2      48          0
f       2      14          0
f       2      49          0
f       2      15          0
f       2      50          0
f       2      16          0
f       2      51          0
f       2      52          0
f       2      18          0
f       2      19          0
f       2      54          0
f       2      20          0
f       2      21          0
f       2      56          0
f       2      22          0
f       2      57          0
f       2      58          0
f       2      59          0
f       2      27          0
f       2      28          0
f       2      63          0
f       2      66          0
f       2      32          0
f       2      67          0
f       2      68          0
f       2      34          0
f       2      69          0
f       2      36          0
f       2      71          0
f       2      37          0
f       2      38          0
f       2      73          0
f       2      40          0
f       2      75          0
f       2      76          0
f       2      80          0
f       2      55          0
f       2      29          0
f       2      64          0
f       2      30          0
f       2      65          0
f       2      31          1
f       2      45          0
f       2      17          0
f       2      77          0
f       2      33          0
f       2      23          0
f       2      53          0
f       2      35          0
f       2      70          0
f       2      24          0
f       2      12          0
f       2      25          0
f       2      72          0
f       2      60          0
f       2      26          0
f       2      39          0
f       2      74          0
f       2      61          0
f       2      47          0
f       2      41          0
f       2      62          0
f       3      44          0
f       3      46          0
f       3      11          0
f       3      13          0
f       3      54          0
f       3      18          0
f       3      56          0
f       3      57          0
f       3      21          0
f       3      63          0
f       3      67          0
f       3      49          0
f       3      43          0
f       3      50          0
f       3      14          0
f       3      51          0
f       3      15          0
f       3      52          0
f       3      16          0
f       3      53          0
f       3      17          0
f       3      80          1
f       3      45          0
f       3      55          0
f       3      19          0
f       3      78          0
f       3      20          0
f       3      47          0
f       3      79          0
f       3      58          0
f       3      22          0
f       3      59          0
f       3      23          0
f       3      60          0
f       3      24          0
f       3      61          0
f       3      25          0
f       3      62          0
f       3      26          0
f       3      48          0
f       3      27          0
f       3      64          0
f       3      28          0
f       3      65          0
f       3      29          0
f       3      66          0
f       3      30          0
f       3      12          0
f       3      31          0
f       3      68          0
f       3      32          0
f       3      69          0
f       3      33          0
f       3      70          0
f       3      34          0
f       3      71          0
f       3      35          0
f       3      72          0
f       3      36          0
